brand,name,ym,km,trans,price
6, SM6 2.0 LPe,2017,93459,1,1330
3, 소나타뉴라이즈 1.6 터보 스마트,2018,37360,1,2000
3, 그랜저HG HG220 MODERN,2016,128757,1,1299
1, G80 3.3 GDI,2018,66480,1,3650
1, EQ900 3.8 GDI AWD,2016,186470,1,2790
3, 아반떼AD 1.6 GDI 밸류 플러스,2018,69847,1,1300
3, 그랜저IG 2.4 GDI 프리미엄,2017,83893,1,2130
2, 레이 럭셔리,2017,55280,1,950
2, 더뉴k3 2세대 1.6 가솔린 노블레스,2021,3611,1,2230
3, 그랜저HG HG240 MODERN,2016,71190,1,1650
6, SM6 2.0 LPe,2019,97595,1,1230
2, 더뉴K5(2세대) 2.0,2018,60690,1,1950
1, G80 3.3 GDI,2016,204938,1,1790
1, G80 3.3 GDI AWD,2018,48450,1,3750
6, SM6 2.0 LPe,2016,85095,1,1120
3, 아반떼AD 1.6 GDI 모던,2016,57727,1,1390
1, G80 3.3 GDI AWD,2018,107926,1,3179
3, 소나타뉴라이즈 2.0 모던,2018,56973,1,1870
3, 그랜저IG 3.0 GDI 익스클루시브,2019,77700,1,2329
3, 아반떼AD 1.6 GDI 밸류 플러스,2017,69000,1,1249
3, 아반떼AD 1.6 GDI 스마트,2017,59808,1,1280
3, 그랜저 IG 하이브리드 익스클루시브,2018,121924,1,2249
3, 아반떼(CN7) 1.6 인스퍼레이션,2020,10142,1,2460
2, 올뉴모닝(JA) 럭셔리,2017,15990,1,980
4, 더 넥스트 스파크 1.0 가솔린 LT,2016,86910,1,600
2, 더뉴K5(2세대) 2.0 LPI,2018,80342,1,1299
2, 더뉴레이 디럭스,2018,62289,1,920
1, G70 2.0T AWD,2018,21092,1,3650
3, 아반떼AD 1.6 T-GDI 스포츠,2017,48376,1,1660
3, 그랜저HG LPG HG300 MODERN,2016,104742,1,1150
2, 더뉴k3 1.6 GDI 트렌디,2017,27896,1,1250
1, G70 3.3T 스포츠,2017,73327,1,2999
4, 더 넥스트 스파크 1.0 가솔린 LT,2017,88896,1,740
